predicted_temperature,Temperature
20.0,20.0
20.20202,20.2020202020202
20.404041,20.404040404040405
20.606064,20.606060606060606
20.80808,20.80808080808081
21.010101,21.01010101010101
21.21212,21.21212121212121
21.41414,21.414141414141415
21.616161,21.616161616161616
21.818182,21.81818181818182
22.020203,22.02020202020202
22.222221,22.22222222222222
22.42424,22.424242424242426
22.626263,22.626262626262626
22.828283,22.828282828282827
23.030302,23.03030303030303
23.232323,23.232323232323232
23.434341,23.434343434343436
23.636364,23.636363636363637
23.838383,23.838383838383837
24.040401,24.04040404040404
24.242424,24.242424242424242
24.444443,24.444444444444443
24.646461,24.646464646464647
24.848484,24.848484848484848
25.050503,25.050505050505052
25.252525,25.252525252525253
25.454544,25.454545454545453
25.656563,25.656565656565657
25.858583,25.858585858585858
26.060604,26.060606060606062
26.262623,26.262626262626263
26.464643,26.464646464646464
26.666664,26.666666666666668
26.868685,26.86868686868687
27.070704,27.070707070707073
27.272724,27.272727272727273
27.474745,27.474747474747474
27.676765,27.676767676767675
27.878784,27.87878787878788
28.080805,28.080808080808083
28.282825,28.282828282828284
28.484844,28.484848484848484
28.686865,28.686868686868685
28.888885,28.88888888888889
29.090906,29.09090909090909
29.292927,29.292929292929294
29.494946,29.494949494949495
29.696966,29.696969696969695
29.898987,29.8989898989899
30.101006,30.101010101010104
30.303026,30.303030303030305
30.505047,30.505050505050505
30.707066,30.707070707070706
30.909086,30.90909090909091
31.111107,31.11111111111111
31.313126,31.313131313131315
31.515146,31.515151515151516
31.717167,31.717171717171716
31.919188,31.91919191919192
32.12121,32.121212121212125
32.323227,32.323232323232325
32.525246,32.525252525252526
32.72727,32.727272727272734
32.929287,32.92929292929293
33.131306,33.131313131313135
33.33333,33.333333333333336
33.535347,33.535353535353536
33.737366,33.73737373737374
33.93939,33.93939393939394
34.141407,34.141414141414145
34.34343,34.343434343434346
34.54545,34.54545454545455
34.747467,34.74747474747475
34.94949,34.94949494949495
35.15151,35.151515151515156
35.353527,35.35353535353535
35.55555,35.55555555555556
35.75757,35.75757575757576
35.959587,35.95959595959596
36.16161,36.161616161616166
36.36363,36.36363636363636
36.56565,36.56565656565657
36.76767,36.76767676767677
36.96969,36.96969696969697
37.171707,37.17171717171717
37.37373,37.37373737373737
37.57575,37.57575757575758
37.777767,37.77777777777778
37.97979,37.97979797979798
38.18181,38.18181818181818
38.38383,38.38383838383838
38.58585,38.58585858585859
38.78787,38.78787878787879
38.98989,38.98989898989899
39.19191,39.1919191919192
39.39393,39.39393939393939
39.59595,39.5959595959596
39.79797,39.7979797979798
39.99999,40.0
